Suffix,Total mode,ky*rhoi,kx*rhoi,nu_ei(cs/a),f mode,omega(cs/a),f(kHz),omega*i(cs/a),omega*e(cs/a),gamma(cs/a),E_par mode,E_par,D_chi mode,Qem_e/Qes_e,Qem_i/Qes_i,Qem_z/Qes_z,Q_i/Q_e,chi_i/chi_e,D_i/chi_tot,D_e/chi_tot,D_z/chi_tot,D_i/chi_e,D_e/chi_e,D_z/chi_e,D_i/chi_i,D_e/chi_i,D_z/chi_i,
9,other,0.2,0.4,7.37778,other,-3.027,-63.27749667,8.632384,10.8191814,0.801,ITG/TEM,0.97706552,ETG,-0.001382419,0.001822665,0.000328368,0.032115045,0.018677453,-0.010879197,-0.001409993,0.034991043,-0.011394445,-0.001476771,0.036648248,-0.610064175,-0.079067068,1.962165233,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
10,other,0.25,0.4,7.37778,other,-3.57,-74.62856396,10.79048,13.52397675,1.233,ITG/TEM,0.97211702,ETG,-0.001490274,0.000457633,8.22E-05,0.024176578,0.014060603,-0.012115835,-0.003745329,0.028431543,-0.012495468,-0.003862684,0.029322406,-0.888686523,-0.27471678,2.085430215,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
11,other,0.3,0.4,7.37778,other,-4.062,-84.91350891,12.948576,16.2287721,1.687,ITG/TEM,0.964091834,ETG,-0.001371573,0.000115625,3.93E-05,0.019799622,0.011515055,-0.012238339,-0.004711504,0.024224582,-0.012518765,-0.004819462,0.024779658,-1.087165034,-0.418535724,2.151935724,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
12,other,0.4,0.4,7.37778,other,-4.821,-100.7799179,17.264768,21.6383628,2.559,ITG/TEM,0.949136261,ETG,-0.000973368,9.89E-06,2.04E-05,0.01611041,0.009369485,-0.011639691,-0.004943831,0.020795291,-0.011813699,-0.005017739,0.021106171,-1.260869711,-0.535540601,2.252650178,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
13,other,0.5,0.4,7.37778,other,-5.377,-112.4027419,21.58096,27.0479535,3.283,ITG/TEM,0.940776816,ETG,-0.000685336,9.68E-07,4.27E-06,0.013987109,0.008134616,-0.010425486,-0.004456462,0.018488737,-0.010544113,-0.004507171,0.018699113,-1.296202974,-0.554072969,2.298708747,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
14,other,0.6,0.4,7.37778,other,-5.817,-121.6006601,25.897152,32.4575442,3.963,ITG/TEM,0.936929238,ETG,-0.000493341,-7.57E-08,-4.85E-07,0.012143899,0.007062643,-0.009135373,-0.003819901,0.016612192,-0.009220476,-0.003855486,0.016766947,-1.305527623,-0.545898441,2.374032934,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
15,other,0.7,0.4,7.37778,other,-6.205,-129.7115516,30.213344,37.8671349,4.69,ITG/TEM,0.932184465,ETG,-0.000345533,-3.28E-07,-7.74E-07,0.010655474,0.006197006,-0.007976677,-0.003222887,0.015050653,-0.008041029,-0.003248888,0.015172073,-1.297566842,-0.52426736,2.448291075,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
16,other,0.8,0.4,7.37778,other,-6.602,-138.0105824,34.529536,43.2767256,5.466,ITG/TEM,0.923270061,ETG,-0.00024058,-1.41E-07,-4.46E-07,0.009038589,0.005256658,-0.006760018,-0.00251959,0.013781317,-0.006807222,-0.002537184,0.01387755,-1.294971411,-0.482660959,2.639994779,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
17,other,0.9,0.4,7.37778,other,-7.047,-147.3130225,38.845728,48.6863163,6.278,ITG/TEM,0.905462396,ETG,-0.000170375,-1.56E-07,-2.46E-07,0.006219085,0.003616893,-0.004048829,-0.000579474,0.012756964,-0.004070292,-0.000582546,0.012824589,-1.125356051,-0.161062429,3.545747846,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
18,other,1,0.4,7.37778,other,-7.539,-157.5979674,43.16192,54.095907,7.037,other,0.878687897,ETG,-0.000121485,1.21E-08,-4.02E-08,0.005896442,0.00342925,-0.003939624,-0.000697498,0.011765376,-0.003959491,-0.000701016,0.011824705,-1.154622974,-0.204422481,3.448190035,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0007
